iter	Passed	Remaining
0	2	232
1	4	241
2	7	247
3	9	233
4	12	234
5	14	231
6	20	269
7	24	278
8	27	281
9	29	269
10	31	254
11	34	250
12	38	254
13	40	251
14	43	243
15	45	239
16	48	238
17	51	232
18	53	226
19	55	220
20	58	218
21	59	209
22	60	202
23	61	195
24	63	189
25	65	185
26	66	179
27	67	173
28	68	168
29	70	163
30	71	158
31	72	153
32	73	149
33	74	145
34	76	142
35	78	139
36	80	136
37	82	133
38	83	130
39	84	127
40	85	123
41	86	119
42	87	116
43	88	113
44	90	110
45	91	107
46	93	105
47	95	103
48	96	100
49	97	97
50	98	94
51	99	92
52	101	89
53	102	87
54	102	84
55	104	81
56	106	80
57	108	78
58	109	76
59	110	73
60	112	71
61	113	69
62	114	67
63	115	65
64	116	62
65	118	60
66	119	58
67	121	57
68	123	55
69	124	53
70	126	51
71	127	49
72	128	47
73	129	45
74	130	43
75	132	41
76	133	39
77	135	38
78	136	36
79	137	34
80	139	32
81	140	30
82	141	28
83	142	27
84	143	25
85	144	23
86	145	21
87	147	20
88	149	18
89	151	16
90	153	15
91	154	13
92	156	11
93	157	10
94	158	8
95	159	6
96	161	4
97	162	3
98	164	1
99	166	0
